CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),cluster
1,Male,19,15,39,4
2,Male,21,15,81,5
3,Female,20,16,6,4
4,Female,23,16,77,5
5,Female,31,17,40,4
6,Female,22,17,76,5
7,Female,35,18,6,4
8,Female,23,18,94,5
9,Male,64,19,3,4
10,Female,30,19,72,5
11,Male,67,19,14,4
12,Female,35,19,99,5
13,Female,58,20,15,4
14,Female,24,20,77,5
15,Male,37,20,13,4
16,Male,22,20,79,5
17,Female,35,21,35,4
18,Male,20,21,66,5
19,Male,52,23,29,4
20,Female,35,23,98,5
21,Male,35,24,35,4
22,Male,25,24,73,5
23,Female,46,25,5,4
24,Male,31,25,73,5
25,Female,54,28,14,4
26,Male,29,28,82,5
27,Female,45,28,32,4
28,Male,35,28,61,5
29,Female,40,29,31,4
30,Female,23,29,87,5
31,Male,60,30,4,4
32,Female,21,30,73,5
33,Male,53,33,4,4
34,Male,18,33,92,5
35,Female,49,33,14,4
36,Female,21,33,81,5
37,Female,42,34,17,4
38,Female,30,34,73,5
39,Female,36,37,26,4
40,Female,20,37,75,5
41,Female,65,38,35,2
42,Male,24,38,92,5
43,Male,48,39,36,2
44,Female,31,39,61,0
45,Female,49,39,28,4
46,Female,24,39,65,5
47,Female,50,40,55,2
48,Female,27,40,47,0
49,Female,29,40,42,0
50,Female,31,40,42,0
51,Female,49,42,52,2
52,Male,33,42,60,0
53,Female,31,43,54,0
54,Male,59,43,60,2
55,Female,50,43,45,2
56,Male,47,43,41,2
57,Female,51,44,50,2
58,Male,69,44,46,2
59,Female,27,46,51,0
60,Male,53,46,46,2
61,Male,70,46,56,2
62,Male,19,46,55,0
63,Female,67,47,52,2
64,Female,54,47,59,2
65,Male,63,48,51,2
66,Male,18,48,59,0
67,Female,43,48,50,2
68,Female,68,48,48,2
69,Male,19,48,59,0
70,Female,32,48,47,0
71,Male,70,49,55,2
72,Female,47,49,42,2
73,Female,60,50,49,2
74,Female,60,50,56,2
75,Male,59,54,47,2
76,Male,26,54,54,0
77,Female,45,54,53,2
78,Male,40,54,48,0
79,Female,23,54,52,0
80,Female,49,54,42,2
81,Male,57,54,51,2
82,Male,38,54,55,0
83,Male,67,54,41,2
84,Female,46,54,44,2
85,Female,21,54,57,0
86,Male,48,54,46,2
87,Female,55,57,58,2
88,Female,22,57,55,0
89,Female,34,58,60,0
90,Female,50,58,46,2
91,Female,68,59,55,2
92,Male,18,59,41,0
93,Male,48,60,49,2
94,Female,40,60,40,0
95,Female,32,60,42,0
96,Male,24,60,52,0
97,Female,47,60,47,2
98,Female,27,60,50,0
99,Male,48,61,42,2
100,Male,20,61,49,0
101,Female,23,62,41,0
102,Female,49,62,48,2
103,Male,67,62,59,2
104,Male,26,62,55,0
105,Male,49,62,56,2
106,Female,21,62,42,0
107,Female,66,63,50,2
108,Male,54,63,46,2
109,Male,68,63,43,2
110,Male,66,63,48,2
111,Male,65,63,52,2
112,Female,19,63,54,0
113,Female,38,64,42,0
114,Male,19,64,46,0
115,Female,18,65,48,0
116,Female,19,65,50,0
117,Female,63,65,43,2
118,Female,49,65,59,2
119,Female,51,67,43,2
120,Female,50,67,57,2
121,Male,27,67,56,0
122,Female,38,67,40,0
123,Female,40,69,58,0
124,Male,39,69,91,3
125,Female,23,70,29,0
126,Female,31,70,77,3
127,Male,43,71,35,1
128,Male,40,71,95,3
129,Male,59,71,11,1
130,Male,38,71,75,3
131,Male,47,71,9,1
132,Male,39,71,75,3
133,Female,25,72,34,0
134,Female,31,72,71,3
135,Male,20,73,5,1
136,Female,29,73,88,3
137,Female,44,73,7,1
138,Male,32,73,73,3
139,Male,19,74,10,1
140,Female,35,74,72,3
141,Female,57,75,5,1
142,Male,32,75,93,3
143,Female,28,76,40,0
144,Female,32,76,87,3
145,Male,25,77,12,1
146,Male,28,77,97,3
147,Male,48,77,36,1
148,Female,32,77,74,3
149,Female,34,78,22,1
150,Male,34,78,90,3
151,Male,43,78,17,1
152,Male,39,78,88,3
153,Female,44,78,20,1
154,Female,38,78,76,3
155,Female,47,78,16,1
156,Female,27,78,89,3
157,Male,37,78,1,1
158,Female,30,78,78,3
159,Male,34,78,1,1
160,Female,30,78,73,3
161,Female,56,79,35,1
162,Female,29,79,83,3
163,Male,19,81,5,1
164,Female,31,81,93,3
165,Male,50,85,26,1
166,Female,36,85,75,3
167,Male,42,86,20,1
168,Female,33,86,95,3
169,Female,36,87,27,1
170,Male,32,87,63,3
171,Male,40,87,13,1
172,Male,28,87,75,3
173,Male,36,87,10,1
174,Male,36,87,92,3
175,Female,52,88,13,1
176,Female,30,88,86,3
177,Male,58,88,15,1
178,Male,27,88,69,3
179,Male,59,93,14,1
180,Male,35,93,90,3
181,Female,37,97,32,1
182,Female,32,97,86,3
183,Male,46,98,15,1
184,Female,29,98,88,3
185,Female,41,99,39,1
186,Male,30,99,97,3
187,Female,54,101,24,1
188,Male,28,101,68,3
189,Female,41,103,17,1
190,Female,36,103,85,3
191,Female,34,103,23,1
192,Female,32,103,69,3
193,Male,33,113,8,1
194,Female,38,113,91,3
195,Female,47,120,16,1
196,Female,35,120,79,3
197,Female,45,126,28,1
198,Male,32,126,74,3
199,Male,32,137,18,1
200,Male,30,137,83,3
